,미디어_TV_장르_1~3순위,,,미디어_OTT,미디어_동영상 콘텐츠_장르,,,,,,,,,,,,,
panel_id,1순위,2순위,3순위,사용_OTT_수,드라마/영화,음악/댄스,푸드/먹방/레시피,뉴스/시사/정치,게임,스포츠경기,예능,연예계소식,여행,뷰티,동물,운동,학습/강의/업무,일상및토크
H0018563,2,1,9,2,0,1,0,1,0,0,1,0,0,0,0,1,0,0
H0018776,6,1,9,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0
H0020026,2,4,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H0020101,6,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
H0020306,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
H0020726,2,9,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1
H0021173,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0021250,1,9,8,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0
H0021285,3,4,8,3,0,1,0,1,0,1,0,1,0,0,0,0,0,0
H0021439,1,6,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0
H0021608,9,5,7,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0
H0021870,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
H0022113,8,3,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
H0022686,3,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
H0022834,1,2,9,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0
H0023573,3,2,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
H0023930,1,2,8,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
H0023982,2,1,0,2,1,1,0,0,1,0,1,0,0,0,0,1,1,0
H0024301,3,8,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
H0024428,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0024538,2,1,9,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
H0024545,1,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0024636,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0024952,1,4,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
H0025184,3,1,8,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
H0026017,2,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
H0026102,3,6,11,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0
H0026352,8,4,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
H0026466,1,2,3,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0
H0026873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0027154,8,11,9,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1
H0027447,9,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H0027538,2,6,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1
H0027620,9,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
H0027734,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
H0027807,2,9,1,3,1,0,1,0,0,0,0,0,0,1,0,0,1,1
H0027932,4,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0
H0028048,3,8,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
H0028168,10,2,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
H0028206,1,2,6,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
H0028350,9,1,8,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1
H0028489,8,9,4,3,1,1,0,1,1,1,1,1,1,0,1,0,0,1
H0028508,1,2,3,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
H0028789,1,2,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
H0028831,1,3,2,3,1,1,1,0,1,1,1,0,0,0,1,0,1,0
