,미디어_TV_장르_1~3순위,,,미디어_OTT,미디어_동영상 콘텐츠_장르,,,,,,,,,,,,,
panel_id,1순위,2순위,3순위,사용_OTT_수,드라마/영화,음악/댄스,푸드/먹방/레시피,뉴스/시사/정치,게임,스포츠경기,예능,연예계소식,여행,뷰티,동물,운동,학습/강의/업무,일상및토크
I0123657,6,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I0123736,2,3,7,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
I0124238,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
I0124380,1,9,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
I0124473,3,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0124516,8,3,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0
I0124789,3,4,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1
I0125369,1,5,10,2,1,0,1,0,0,1,1,0,0,0,1,0,0,1
I0125507,1,2,3,1,1,0,1,0,1,1,1,1,0,0,1,1,1,1
I0125632,1,8,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0125886,2,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
I0125961,1,2,3,1,1,1,1,1,0,1,1,0,1,0,0,0,1,0
I0126246,3,4,1,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0
I0126334,1,8,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
I0126493,1,3,2,2,1,1,1,1,0,0,0,1,1,0,0,0,0,0
I0126514,1,2,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I0127255,4,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I0127492,1,2,3,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0
I0127754,2,3,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I0127945,1,8,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
I0129170,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I0129351,2,1,9,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0
I0129860,3,4,1,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0
I0129878,3,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I0130349,3,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0
I0130426,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0130555,9,2,8,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
I0130945,1,9,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
I0131029,2,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I0131153,6,4,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
I0131480,2,8,1,3,1,1,0,1,0,0,0,0,0,0,0,1,0,0
I0131963,2,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0132225,1,2,4,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
I0132341,2,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
I0132404,3,4,2,2,1,0,0,1,0,1,1,0,1,0,0,0,0,0
I0132747,1,5,8,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1
I0133554,1,2,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0133835,3,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
I0133846,4,2,9,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1
I0133853,2,9,8,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0
I0134356,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
I0134367,1,6,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
I0134660,3,1,8,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1
I0134893,3,4,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
I0135694,8,3,2,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0
I0135846,3,1,8,0,1,1,1,1,0,1,1,1,1,0,0,1,0,1
I0135937,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I0136122,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I0136178,3,5,8,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1
I0136410,3,8,6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
I0136607,3,2,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
I0136652,9,8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I0136675,9,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0136876,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0137100,4,3,8,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0
I0137194,4,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
I0137326,8,2,0,2,0,1,1,0,0,1,1,0,1,0,1,1,1,0
I0137456,3,8,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0137501,9,8,3,3,1,0,1,1,0,1,0,0,1,0,0,0,1,0
I0137730,3,8,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
I0137851,3,1,2,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0
I0137887,3,8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
I0138080,8,1,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
I0138169,1,2,8,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
I0138213,1,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0138625,4,1,3,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
I0138823,3,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
I0138986,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
I0139012,1,6,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
I0139072,1,4,6,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0
I0139344,2,8,997,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
I0139710,4,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
I0139893,3,8,7,0,1,1,0,1,0,1,0,0,1,0,0,0,1,0
I0140078,3,8,9,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1
I0140158,8,9,3,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0
I0140306,3,8,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
I0140452,1,3,8,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
I0140453,1,3,4,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0
I0140598,3,1,4,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1
I0140959,7,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I0141155,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I0141370,9,8,5,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0
I0141684,8,9,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,1
I0141733,2,1,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
I0141811,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0141929,9,2,4,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0
I0142395,2,1,3,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
I0142686,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0142715,4,3,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
I0142741,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0
I0142753,1,8,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
I0142843,2,4,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I0143389,1,2,4,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0
I0143608,2,6,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
I0143995,2,1,10,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
I0144517,8,2,3,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
I0144722,1,3,8,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
I0144853,4,1,2,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0
I0145359,1,3,9,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0
I0145537,2,7,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0
I0145766,1,2,9,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0
I0145788,1,9,2,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0
I0146131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0146160,1,2,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0
I0146447,3,1,2,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0
I0146543,1,2,3,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
I0146728,1,10,3,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
I0146826,1,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
I0147282,3,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
I0147754,4,3,11,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
I0148409,9,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
I0148685,1,6,8,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
I0149385,1,2,9,3,1,1,1,1,0,0,1,0,1,1,0,1,1,0
I0149403,1,8,9,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0
I0149584,1,2,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0
I0149735,3,8,10,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
I0149754,1,4,5,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0
I0149868,2,3,1,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0
I0150958,1,2,9,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0
I0151200,2,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
I0151323,2,8,1,0,1,0,0,1,0,0,1,1,1,0,0,0,1,0
I0151436,3,2,8,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0
I0151605,1,5,7,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
I0151665,2,8,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0
I0152177,1,2,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0153040,1,5,2,2,0,0,1,1,0,1,1,1,0,0,1,0,1,1
I0153244,3,2,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I0153421,3,4,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
I0153709,9,8,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0
I0153887,3,9,8,1,1,0,1,1,0,0,1,1,1,0,1,1,0,0
I0154441,1,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I0156246,2,1,8,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
I0157707,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
I0158227,4,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
I0158838,2,1,6,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0
I0159013,2,1,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
I0159166,1,6,2,2,0,1,0,0,1,0,1,1,0,1,1,1,0,0
I0159525,2,8,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
I0159995,2,1,3,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
I0160296,9,2,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I0160987,1,2,8,2,0,0,1,1,0,1,1,1,1,0,0,1,0,0
I0161221,3,8,4,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0
I0161268,9,2,8,2,1,0,0,1,0,0,1,0,1,0,1,0,0,1
I0161325,3,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
I0161532,2,1,8,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
I0161667,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0161729,2,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
I0161828,4,3,8,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0
I0161848,8,3,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
I0162100,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1
I0162944,1,3,2,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0
I0163262,3,8,4,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
I0163356,3,2,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0163510,8,2,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
I0164467,1,8,10,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0
I0164761,1,3,4,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0
I0164788,1,3,2,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0
I0164955,1,2,4,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0
I0165620,3,2,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
I0165835,3,2,8,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1
I0166044,4,9,8,1,1,0,1,0,0,1,1,0,1,0,1,1,1,0
I0166158,9,5,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I0166489,1,3,2,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0
I0166561,2,3,8,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0
I0166640,2,1,8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
I0166700,4,8,9,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
I0166784,1,3,4,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1
I0167310,3,2,8,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0
I0168856,2,1,3,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
I0169633,1,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I0169640,4,2,8,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0
I0170333,1,2,8,5,1,1,1,1,1,1,0,1,1,0,1,1,0,0
I0170337,3,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
I0170355,3,2,8,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
I0170363,3,8,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
I0170364,3,2,6,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0
I0170718,3,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
I0171247,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0171469,4,2,3,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0
I0171541,3,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0171917,8,2,4,2,1,0,0,0,1,1,0,0,0,0,0,0,1,0
I0171929,8,1,2,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0
I0172748,2,1,10,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0172771,9,3,4,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
I0172866,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I0173178,8,3,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
I0173306,3,2,8,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
I0173330,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I0173353,2,5,4,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0
I0173627,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0174333,2,1,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0
I0174357,1,2,10,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1
I0174581,8,9,3,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1
I0174665,8,7,2,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0
I0175024,3,2,8,1,1,1,1,1,0,0,1,0,0,1,0,1,0,0
I0175320,3,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0175818,1,8,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0
I0176568,3,1,5,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0
I0177851,1,9,8,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
I0178155,8,3,1,2,0,1,1,1,0,0,1,0,1,0,0,1,0,0
I0178805,3,9,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0
I0178933,1,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
I0179082,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
I0179605,3,8,1,2,1,0,0,0,0,1,1,0,1,0,0,0,1,0
I0180138,1,2,4,2,1,0,1,1,0,1,1,1,1,0,1,1,0,0
I0180757,8,9,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
I0180910,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I0180969,1,4,9,3,1,0,1,1,0,0,1,0,1,0,1,1,0,0
I0181173,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0181556,3,2,10,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0
I0181857,3,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
I0181902,2,4,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0
I0182199,2,1,3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
I0182269,3,1,2,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0
I0182320,8,2,3,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0
I0182330,4,2,3,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0
I0182452,3,2,8,2,0,0,1,1,0,0,0,0,1,0,0,1,1,0
I0182694,5,8,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I0182921,1,4,2,2,1,1,1,1,1,1,1,1,1,0,1,0,1,1
I0183052,3,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
I0183310,3,8,9,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0
I0183318,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0183715,9,8,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
I0183817,4,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
I0184192,2,1,9,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
I0184247,2,4,8,3,1,0,1,1,0,1,1,1,0,1,0,0,0,0
I0184840,3,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
I0185069,8,9,0,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1
I0185108,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0185397,8,9,3,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
I0185441,9,3,2,2,1,0,0,1,0,0,1,0,1,0,0,0,0,0
I0185555,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0185890,3,8,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0
I0187360,8,3,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
I0187444,3,1,4,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0
I0187480,3,8,4,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0
I0187511,2,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I0188012,2,1,10,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
I0188830,1,2,9,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0
I0188938,1,3,4,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
I0189151,4,8,6,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0
I0189459,9,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0189755,2,1,10,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
I0190200,2,1,3,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0
I0190239,3,8,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
I0191080,3,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0
I0191181,3,8,9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
I0191255,2,3,4,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0
I0191479,2,8,9,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
I0191493,3,1,8,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0
I0192006,2,9,8,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
I0192069,4,8,2,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0
I0192374,3,4,7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
I0192568,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
I0192662,2,3,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
I0192840,2,10,3,1,0,1,1,0,0,0,0,0,1,1,0,1,0,1
I0192905,1,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
I0193069,2,1,3,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0
I0193321,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I0193351,3,8,4,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0
I0193542,3,4,8,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
I0193762,2,1,0,3,1,1,1,0,1,0,1,0,1,0,1,1,1,1
I0193821,8,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I0194035,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0194247,1,8,2,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0
I0194346,5,8,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0
I0194414,3,1,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I0194501,2,8,3,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1
I0194856,2,10,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0
I0195219,1,8,2,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
I0195431,3,1,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
I0195561,4,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
I0195732,2,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
I0195735,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0196315,2,8,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0
I0196424,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
I0196547,8,3,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I0196619,3,8,1,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0
I0196772,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
I0197015,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
I0197054,1,2,9,1,1,0,0,0,1,0,1,1,0,0,0,1,1,0
I0197065,1,8,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
I0197269,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
I0197340,8,3,1,2,1,1,0,1,0,1,1,0,0,0,1,0,0,0
I0197415,8,9,6,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
I0197554,1,2,3,3,0,0,0,0,0,0,1,0,0,0,1,0,1,1
I0197563,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I0197640,8,1,9,0,1,0,1,1,0,0,0,0,1,0,0,0,1,1
I0197694,1,4,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I0197872,1,2,8,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0
I0197956,4,9,8,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
I0198185,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0198336,2,1,8,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
I0198388,8,2,9,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
I0198591,3,2,9,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
I0199805,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1
I0199837,2,3,1,2,1,0,1,0,0,0,1,1,0,1,0,1,0,0
I0200111,2,1,3,2,1,1,0,1,0,1,1,1,1,0,0,1,0,0
I0200228,3,8,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0
I0200484,8,4,3,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
I0200516,2,1,9,3,1,0,0,0,0,0,0,0,1,0,0,0,1,0
I0200522,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
I0200705,1,3,7,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
I0201158,1,3,0,3,1,1,1,0,0,0,1,0,1,0,1,0,0,0
I0201470,3,8,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
I0201634,1,2,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
I0202249,2,3,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
I0202628,1,3,0,2,0,0,1,0,0,0,1,0,1,0,0,0,0,0
I0202928,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0203361,2,10,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
I0203527,3,9,8,0,0,0,1,1,0,0,1,0,1,0,1,0,0,1
I0203904,1,2,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0
I0204214,3,11,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
I0204590,3,8,4,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
I0204844,3,4,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
I0205720,1,997,0,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0
I0206401,2,7,4,3,1,1,0,1,1,1,1,0,1,0,1,1,0,1
I0206817,1,2,8,2,1,0,1,1,0,0,1,1,1,0,1,1,1,1
I0207140,2,4,3,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0
I0207280,2,9,4,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0
I0207398,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
I0207493,3,4,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0
I0209494,1,0,0,2,0,1,1,0,0,0,1,0,0,1,0,1,1,1
I0209565,4,2,7,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
I0209931,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I0210321,1,2,4,2,1,0,1,0,0,1,1,0,1,0,0,0,0,0
I0210379,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0
I0210792,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
I0211182,3,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
I0211808,2,5,8,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1
I0212032,1,2,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0
I0212297,8,9,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
I0212453,4,2,1,2,1,1,1,1,0,1,1,1,1,0,0,0,1,0
I0212551,2,10,1,2,1,1,1,0,0,0,0,0,0,1,1,0,0,1
I0212974,2,8,1,3,1,0,1,1,0,0,0,0,1,0,0,0,0,0
I0212988,3,1,8,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0
I0213201,2,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
