panel_id,Major OTT,Minor OTT,YouTube,쇼핑,스포츠,cluster
P0377996,3.189691,0.435533,8.494333,4.730769,0.97726,0
P0378136,1.094973,0.011386,10.63397,18.51852,0,2
P0378148,0.781848,0.432035,2.335287,27,0,2
P0378188,0.287032,0,1.449952,4.444444,0,1
P0378414,4.439326,36.2089,10.56069,2.84,0.799244,0
P0378449,2.461795,0,1.171734,15.18519,0,0
P0378506,1.515243,1.197499,12.67128,7.222222,0,0
P0378908,0.01672,0.000271,1.048457,4.074074,0,0
P0379312,3.988742,0,0.048185,19.48148,0.081355,0
P0379335,0.018666,2.280038,0.070697,3.947368,0,3
P0379422,0.127518,0,14.98752,4.777778,0,1
P0379425,0.054645,0.069807,13.32118,20.88889,0,1
P0379497,3.578789,0.462596,7.402306,11.77778,0,0
P0379555,0.746156,2.615982,23.2335,9.923077,1.897263,0
P0379592,0.009827,0,0.009524,1.444444,0,1
P0379594,2.458828,0,7.339468,10.48148,0,0
P0379824,1.294162,0,0.450679,0,0,1
P0380075,1.046181,0,0.027659,17.14815,0,1
P0380234,0.004343,0,1.553212,10.48148,0,0
P0381000,11.47454,5.566687,35.09847,3.285714,0,1
P0381538,0.0017,0.601935,13.99898,56.37037,0,2
P0381934,1.880601,0,3.182501,22.85185,0,0
P0381935,4.346069,0.006311,2.057062,1.181818,0,1
P0381997,6.471109,0.972335,14.01664,18,0,0
P0382180,3.658382,0,1.310811,6.583333,0,0
P0382284,2.332066,0,4.233282,47.55556,0,2
P0382329,0.69728,0.060054,4.803773,25.55556,0,3
P0382568,0.194948,0.160709,16.73244,8.333333,0,0
P0382635,0.066311,0,9.254494,6.333333,0,2
P0382897,0.341364,0,9.131997,12.11111,0,2
P0382943,3.273528,0.000396,6.822273,6.6,0,0
P0382983,8.647305,0,14.49765,10.81481,0,1
P0383108,1.125174,0.155698,5.028788,3.88,0,0
P0383459,0.005018,0,9.884443,6.88,0,2
P0383513,14.45174,0.869816,0.79596,12.25926,0,0
P0383531,0.088147,0,9.583932,18.92593,0,0
P0383554,0.041623,0,0.000444,20.40741,0,0
P0383612,0.042484,0.083585,32.23707,6.185185,0,1
P0383880,5.146754,0,1.194714,23.07407,0,2
P0384124,2.689733,0,6.070882,26,0,2
P0384281,0.241548,0.055639,11.28939,26.40741,0,0
P0384332,0.001401,0.009219,6.317079,27.92593,0,3
P0384351,0.055353,0,0.042173,30.07407,0,3
P0384407,0.039069,0,1.28934,16.59259,0,0
P0384456,2.178502,0.001181,9.214326,16.55556,0,0
P0384463,0.042169,0,1.217697,14.48148,0,0
P0384466,6.553513,0,1.243435,72.88889,0.122645,2
K0040023,1.74286,0,16.36863,9.037037,0,1
K0040728,1.42989,0.191061,9.030147,2,0,0
K0040879,6.455196,0,0.592838,5.148148,0,0
